-3.000, -1.0101100000
-2.900, -1.0299100000
-2.800, -1.0613200000
-2.700, -1.1061100000
-2.600, -1.1670100000
-2.500, -1.2482200000
-2.400, -1.3561300000
-2.300, -1.5008800000
-2.200, -1.6992300000
-2.100, -1.9808000000
-2.000, -2.4030000000
-1.900, -3.0932000000
-1.800, -4.4013700000
-1.700, -7.7612900000
-1.600, -34.2471400000
-1.500, 14.1368300000
-1.400, 5.8834900000
-1.300, 3.7383300000
-1.200, 2.7597000000
-1.100, 2.2046000000
-1.000, 1.8508200000
-0.900, 1.6087300000
-0.800, 1.4353200000
-0.700, 1.3074600000
-0.600, 1.2116300000
-0.500, 1.1394900000
-0.400, 1.0857000000
-0.300, 1.0467500000
-0.200, 1.0203400000
-0.100, 1.0050200000
0.000, 1.0000000000
0.100, 1.0050200000
0.200, 1.0203400000
0.300, 1.0467500000
0.400, 1.0857000000
0.500, 1.1394900000
0.600, 1.2116300000
0.700, 1.3074600000
0.800, 1.4353200000
0.900, 1.6087300000
1.000, 1.8508200000
1.100, 2.2046000000
1.200, 2.7597000000
1.300, 3.7383400000
1.400, 5.8835000000
1.500, 14.1368300000
1.600, -34.2471700000
1.700, -7.7613000000
1.800, -4.4013700000
1.900, -3.0932000000
2.000, -2.4030000000
2.100, -1.9808000000
2.200, -1.6992300000
2.300, -1.5008800000
2.400, -1.3561300000
2.500, -1.2482200000
2.600, -1.1670100000
2.700, -1.1061100000
2.800, -1.0613200000
2.900, -1.0299100000
3.000, -1.0101100000
3.100, -1.0008700000
3.200, -1.0017100000
3.300, -1.0126800000
3.400, -1.0343400000
3.500, -1.0678600000
3.600, -1.1151300000
3.700, -1.1791100000
3.800, -1.2642700000
3.900, -1.3775400000
4.000, -1.5298900000
4.100, -1.7396600000
4.200, -2.0397300000
4.300, -2.4950200000
4.400, -3.2538000000
4.500, -4.7439300000
4.600, -8.9164400000
4.700, -80.7208800000
4.800, 11.4286500000
4.900, 5.3615800000
5.000, 3.5253200000
5.100, 2.6456600000
5.200, 2.1344000000
5.300, 1.8038400000
5.400, 1.5755700000
5.500, 1.4111000000
5.600, 1.2893800000
5.700, 1.1980200000
5.800, 1.1292800000
5.900, 1.0781900000
